Serial_number:,,,,
2171461,,,,
Project ID:,,,,
,,,,
Location:,,,,
phelps,,,,
LEVEL,,,,
UNIT: m,,,,
Offset: 0.000000 m,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time,ms,LEVEL,TEMPERATURE
3/3/2026,4:15:00 PM,0,0.3262,14.911
3/3/2026,4:30:00 PM,0,0.3271,14.917
3/3/2026,4:45:00 PM,0,0.327,14.924
3/3/2026,5:00:00 PM,0,0.3263,14.933
3/3/2026,5:15:00 PM,0,0.3264,14.946
3/3/2026,5:30:00 PM,0,0.3258,14.955
3/3/2026,5:45:00 PM,0,0.3254,14.966
3/3/2026,6:00:00 PM,0,0.3239,14.983
3/3/2026,6:15:00 PM,0,0.3234,14.999
3/3/2026,6:30:00 PM,0,0.3243,15.016
3/3/2026,6:45:00 PM,0,0.3247,15.033
3/3/2026,7:00:00 PM,0,0.3251,15.05
3/3/2026,7:15:00 PM,0,0.3249,15.069
3/3/2026,7:30:00 PM,0,0.3241,15.086
3/3/2026,7:45:00 PM,0,0.3253,15.108
3/3/2026,8:00:00 PM,0,0.3254,15.125
3/3/2026,8:15:00 PM,0,0.3255,15.146
3/3/2026,8:30:00 PM,0,0.325,15.167
3/3/2026,8:45:00 PM,0,0.3256,15.185
3/3/2026,9:00:00 PM,0,0.3239,15.206
3/3/2026,9:15:00 PM,0,0.325,15.223
3/3/2026,9:30:00 PM,0,0.3246,15.243
3/3/2026,9:45:00 PM,0,0.3249,15.259
3/3/2026,10:00:00 PM,0,0.3253,15.274
3/3/2026,10:15:00 PM,0,0.3242,15.289
3/3/2026,10:30:00 PM,0,0.3246,15.302
3/3/2026,10:45:00 PM,0,0.3245,15.313
3/3/2026,11:00:00 PM,0,0.3247,15.322
3/3/2026,11:15:00 PM,0,0.3244,15.329
3/3/2026,11:30:00 PM,0,0.3242,15.333
3/3/2026,11:45:00 PM,0,0.3245,15.339
3/4/2026,12:00:00 AM,0,0.3243,15.34
3/4/2026,12:15:00 AM,0,0.324,15.342
3/4/2026,12:30:00 AM,0,0.3235,15.34
3/4/2026,12:45:00 AM,0,0.3231,15.336
3/4/2026,1:00:00 AM,0,0.3241,15.334
